2025-04-15 16:11:09,246 - INFO - 程序启动，日志文件：log\2025-04-15_16-11-09.log
2025-04-15 16:11:09,257 - INFO - 未找到初始数据库文件 project_accounting.db，将创建新数据库
2025-04-15 16:11:09,257 - INFO - 创建数据库文件：d:\bcmanager\project_accounting.db
2025-04-15 16:11:09,303 - INFO - 数据库初始化成功
2025-04-15 16:11:09,450 - INFO - 应用窗口标题: 本纯设计
2025-04-15 16:11:09,467 - INFO - 应用窗口图标: D:/bcmanager/logo01.png
2025-04-15 16:11:09,467 - INFO - 读取 Logo 路径: D:/bcmanager/logo.png
2025-04-15 16:11:09,480 - INFO - 应用新 Logo: D:/bcmanager/logo.png
2025-04-15 16:11:20,930 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 5dd2b2cbf23d7c2815e7100bcbef2325c1af832ae703b834e8508cbfc595a790
2025-04-15 16:11:20,930 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:11:22,843 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 5dd2b2cbf23d7c2815e7100bcbef2325c1af832ae703b834e8508cbfc595a790
2025-04-15 16:11:22,844 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:11:24,196 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 5dd2b2cbf23d7c2815e7100bcbef2325c1af832ae703b834e8508cbfc595a790
2025-04-15 16:11:24,197 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:11:38,185 - INFO - 登录尝试 - 用户名: 小梅, 哈希密码: d035eaef7179a8a39b5cde391f521cd2a9cfbbd1932143e742a09188977d2ce9
2025-04-15 16:11:38,186 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:11:40,539 - INFO - 登录尝试 - 用户名: 小梅, 哈希密码: d035eaef7179a8a39b5cde391f521cd2a9cfbbd1932143e742a09188977d2ce9
2025-04-15 16:11:40,540 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:11:53,857 - INFO - 登录尝试 - 用户名: hh, 哈希密码: 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
2025-04-15 16:11:53,858 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:12:17,592 - INFO - 登录尝试 - 用户名: 小梅, 哈希密码: 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
2025-04-15 16:12:17,594 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:12:24,666 - INFO - 登录尝试 - 用户名: 小梅, 哈希密码: d035eaef7179a8a39b5cde391f521cd2a9cfbbd1932143e742a09188977d2ce9
2025-04-15 16:12:24,667 - INFO - 验证结果: False, 用户数据: None
