2025-04-15 16:31:31,234 - INFO - 程序启动，日志文件：log\2025-04-15_16-31-31.log
2025-04-15 16:31:31,244 - INFO - 未找到初始数据库文件 project_accounting.db，将创建新数据库
2025-04-15 16:31:31,244 - INFO - 创建数据库文件：d:\bcmanager\project_accounting.db
2025-04-15 16:31:31,289 - INFO - 数据库初始化成功
2025-04-15 16:31:31,290 - INFO - 已清理 QSettings 缓存
2025-04-15 16:31:31,421 - INFO - 应用窗口标题: 本纯设计
2025-04-15 16:31:31,436 - INFO - 应用窗口图标: D:/bcmanager/logo01.png
2025-04-15 16:31:31,437 - INFO - 读取 Logo 路径: D:/bcmanager/logo.png
2025-04-15 16:31:31,449 - INFO - 应用新 Logo: D:/bcmanager/logo.png
2025-04-15 16:31:40,181 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 5dd2b2cbf23d7c2815e7100bcbef2325c1af832ae703b834e8508cbfc595a790
2025-04-15 16:31:40,181 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:31:47,108 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 5dd2b2cbf23d7c2815e7100bcbef2325c1af832ae703b834e8508cbfc595a790
2025-04-15 16:31:47,109 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:37:03,473 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
2025-04-15 16:37:03,474 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:37:14,193 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
2025-04-15 16:37:14,194 - INFO - 验证结果: False, 用户数据: None
2025-04-15 16:37:24,640 - INFO - 登录尝试 - 用户名: bc, 哈希密码: 5dd2b2cbf23d7c2815e7100bcbef2325c1af832ae703b834e8508cbfc595a790
2025-04-15 16:37:24,641 - INFO - 验证结果: False, 用户数据: None
